epoch:1, save the model.
epoch:2, save the model.
epoch:3, save the model.
epoch:4, save the model.
epoch:6, save the model.
epoch:8, save the model.
epoch:9, save the model.
epoch:14, save the model.
epoch:16, save the model.
epoch:27, save the model.
epoch:28, save the model.
epoch:36, save the model.
epoch:42, save the model.
epoch:43, save the model.
epoch:45, save the model.
epoch:58, save the model.
epoch:67, save the model.
