x,y,day,temp_min,temp_max,precip,fishnet_ID,0,1,2,3,4,5,6,7,8,9
-93.270796852,44.4844142653,9,58.6713,73.4584,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.2330703167,44.48449748,9,58.8239,73.7672,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.1953436305,44.4845682337,9,59.0087,74.1789,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.1576168179,44.4846265261,9,59.1326,74.6591,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
-93.1198899032,44.4846723572,9,59.1894,74.8471,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.082162911,44.4847057269,9,59.1744,74.8219,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.0444358656,44.4847266352,9,59.0996,74.5886,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.2709218827,44.5114221321,9,58.7437,73.5984,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.2331779289,44.5115054248,9,58.895,73.9234,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.195433824,44.5115762448,9,59.0672,74.4687,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.1576895925,44.5116345918,9,59.193,74.8533,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.1199452588,44.5116804659,9,59.244,75.0528,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.0822008473,44.5117138669,9,59.2278,75.0488,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.0444563826,44.5117347947,9,59.1587,74.8516,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.0067118891,44.5117432494,9,59.0516,74.4892,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-92.9689673912,44.5117392309,9,58.924,74.0174,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-92.9312229134,44.5117227392,9,58.8004,73.5333,0.0,16,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0
-93.9129439399,44.53510267,9,59.7467,74.1335,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.8751888636,44.5353982366,9,59.9305,73.9134,0.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.8374332197,44.5356813242,9,59.9927,73.8328,0.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.7996770327,44.5359519323,9,59.8933,73.8522,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.7619203268,44.5362100604,9,59.6764,73.7602,0.0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.7241631268,44.536455708,9,59.3907,73.3799,0.0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.686405457,44.5366888747,9,59.0861,72.7662,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.6486473419,44.5369095602,9,58.8664,72.2531,0.0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.6108888061,44.537117764,9,58.8373,72.1826,0.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.573129874,44.5373134857,9,58.997,72.5954,0.0,26,0.0,0.0,0.0,3.0,1.0,3.0,26.0,31.0,12.0,0.0
-93.53537057,44.5374967251,9,59.2342,73.2338,0.0,27,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-93.4976109187,44.5376674818,9,59.417,73.9466,0.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.4598509446,44.5378257555,9,59.5016,74.3893,0.0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.4220906722,44.537971546,9,59.4501,74.4479,0.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.3843301259,44.5381048529,9,59.2832,74.4751,0.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.3465693303,44.5382256761,9,59.0698,74.197,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.3088083098,44.5383340153,9,58.9193,73.9638,0.0,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.271047089,44.5384298704,9,58.9155,73.9396,0.0,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.2332856923,44.5385132411,9,59.0328,74.3423,0.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.1955241442,44.5385841274,9,59.1797,74.7768,0.0,36,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0
-93.1577624693,44.5386425292,9,59.2791,75.1272,0.0,37,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,2.0,0.0
-93.120000692,44.5386884462,9,59.3127,75.3123,0.0,38,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-93.0822388369,44.5387218785,9,59.2889,75.3164,0.0,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.0444769284,44.538742826,9,59.2222,75.1496,0.0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.0067149911,44.5387512886,9,59.1269,74.8387,0.0,41,0.0,0.0,0.0,0.0,1.0,2.0,4.0,2.0,1.0,0.0
-92.9689530494,44.5387472663,9,59.0189,74.435,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-92.9311911278,44.5387307592,9,58.9189,74.0221,0.0,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-92.8934292509,44.5387017672,9,58.8527,73.704,0.0,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-92.8556674431,44.5386602905,9,58.8437,73.5621,0.0,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-92.817905729,44.538606329,9,58.9001,73.599,0.0,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-92.780144133,44.5385398829,9,58.9991,73.7175,0.0,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.9133661879,44.5621071624,9,59.8176,74.0508,0.0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.875593655,44.562403006,9,60.0068,73.8352,0.0,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.8378205535,44.5626863588,9,60.0724,73.7665,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.8000469079,44.5629572204,9,59.9628,73.8222,0.0,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.7622727427,44.5632155903,9,59.73,73.7768,0.0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.7244980824,44.5634614681,9,59.4351,73.4336,0.0,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.6867229515,44.5636948533,9,59.1256,72.8397,0.0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.6489473747,44.5639157455,9,58.8993,72.3276,0.0,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.6111713763,44.5641241444,9,58.8674,72.2526,0.0,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.5733949809,44.5643200495,9,59.0371,72.6761,0.0,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-93.5356182132,44.5645034606,9,59.2937,73.3319,0.0,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.4978410975,44.5646743772,9,59.4999,74.0768,0.0,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.4600636584,44.5648327992,9,59.6123,74.5584,0.0,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.4222859205,44.5649787263,9,59.6015,74.8411,0.0,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.3845079082,44.5651121581,9,59.4737,74.8152,0.0,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.3467296462,44.5652330945,9,59.3065,74.6513,0.0,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.308951159,44.5653415352,9,59.1832,74.5091,0.0,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.2711724711,44.5654374801,9,59.1698,74.5673,0.0,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.233393607,44.565520929,9,59.2333,74.8403,0.0,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.1956145913,44.5655918817,9,59.3282,75.1885,0.0,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.1578354485,44.5656503382,9,59.3855,75.4712,0.0,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.1200562032,44.5656962983,9,59.3916,75.6208,0.0,69,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
-93.0822768799,44.5657297619,9,59.3543,75.6201,0.0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.0444975031,44.565750729,9,59.2861,75.4749,0.0,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.0067180975,44.5657591995,9,59.199,75.2061,0.0,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-92.9689386874,44.5657551735,9,59.106,74.8556,0.0,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-92.9311592976,44.5657386509,9,59.0233,74.49,0.0,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-92.8933799524,44.5657096318,9,58.9697,74.1871,0.0,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-92.8556006766,44.5656681162,9,58.9618,74.0012,0.0,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-92.8178214945,44.5656141041,9,59.0036,73.9253,0.0,77,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
-92.7800424308,44.5655475958,9,59.0766,73.8912,0.0,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.9137890291,44.5891115235,9,59.8204,74.0468,0.0,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.875999015,44.5894076442,9,59.9977,73.8464,0.0,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.8382084314,44.5896912625,9,60.0598,73.7784,0.0,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.8004173027,44.5899623779,9,59.9588,73.8366,0.0,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.7626256536,44.5902209898,9,59.7493,73.8222,0.0,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.7248335085,44.590467098,9,59.4939,73.5553,0.0,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.6870408921,44.5907007018,9,59.2308,73.0697,0.0,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.6492478289,44.590921801,9,59.0358,72.6388,0.0,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.6114543434,44.5911303951,9,59.007,72.5698,0.0,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.5736604604,44.5913264838,9,59.1693,72.9671,0.0,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.5358662042,44.5915100667,9,59.4187,73.573,0.0,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.4980715996,44.5916811435,9,59.6281,74.3049,0.0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.460276671,44.5918397139,9,59.7585,74.7959,0.0,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-93.422481443,44.5919857777,9,59.7769,75.2452,0.0,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
